1.00	0.1318335925
0.98	0.042408052
0.96	0.044941779
0.94	0.045118314
0.92	0.045190764
0.90	0.045780573
0.88	0.044176457
0.86	0.042558055
0.84	0.041362111
0.82	0.03749264
0.80	0.038114082
0.78	0.034530332
0.76	0.032539473
0.74	0.029396548
0.72	0.026987313
0.70	0.025202581
0.68	0.024033168
0.66	0.020796364
0.64	0.019403477
0.62	0.01715649
0.60	0.017189144
0.58	0.015063588
0.56	0.013829888
0.54	0.012451287
0.52	0.010287976
0.50	0.012991095
0.48	0.0098440885
0.46	0.0088420262
0.44	0.0083348725
0.42	0.0071879091
0.40	0.0075419983
0.38	0.0066817758
0.36	0.0060174759
0.34	0.0064440156
0.32	0.0054705254
0.30	0.0049970459
0.28	0.0047623469
0.26	0.0048990846
0.24	0.0044398911
0.22	0.0038143675
0.20	0.0043041739
0.18	0.0038102857
0.16	0.0037827341
0.14	0.0035837503
0.12	0.0033612965
0.10	0.0034694621
0.08	0.0034276245
0.06	0.0033470105
0.04	0.0035255858
0.02	0.003827633
0.00	0.0034478768
